id,product_id,body,date_written,asker_name,asker_email,reported,helpful
1,1,What fabric is the top made of?,1595880000000,yankeelover,first.last@gmail.com,0,1
2,1,HEY THIS IS A WEIRD QUESTION!!!!?,1613890000000,jbilas,first.last@gmail.com,1,4
3,1,Does this product run big or small?,1608540000000,jbilas,first.last@gmail.com,0,8
4,1,How long does it last?,1594340000000,funnygirl,first.last@gmail.com,0,6
5,1,Can I wash it?,1608860000000,cleopatra,first.last@gmail.com,0,7
6,1,Is it noise cancelling?,1608860000000,coolkid,first.last@gmail.com,1,19
7,2,Where is this product made?,1590430000000,iluvcatz,first.last@gmail.com,0,0
8,2,Is this product sustainable?,1608860000000,coolkid,first.last@gmail.com,1,5
9,2,"I'm allergic to dye #17, does this product contain any?",1598030000000,l33tgamer,first.last@gmail.com,0,6
10,2,Why is this product cheaper here than other sites?,1618980000000,toofast,first.last@gmail.com,0,5
11,2,Where does this product ship from?,1608330000000,jbilas,first.last@gmail.com,0,24
12,2,Does this product run big or small?,1601720000000,iluvcatz,first.last@gmail.com,0,2
13,2,What fabric is the bottom made of?,1596390000000,cleopatra,first.last@gmail.com,0,7
14,2,Where is this product made?,1601270000000,jbilas,first.last@gmail.com,0,4
15,2,What fabric is the side made of?,1598950000000,funnygirl,first.last@gmail.com,0,1
16,3,How long does it last?,1596390000000,funnygirl,first.last@gmail.com,0,0
17,3,Does this product run big or small?,1598580000000,coolkid,first.last@gmail.com,0,8
18,3,Can I wash it?,1595110000000,jbilas,first.last@gmail.com,0,5
19,3,Why is this product cheaper here than other sites?,1590410000000,jbilas,first.last@gmail.com,0,6
20,3,What fabric is the front made of?,1591560000000,internethistorian,first.last@gmail.com,0,1
21,3,Is it noise cancelling?,1608730000000,jbilas,first.last@gmail.com,1,4
22,3,Is this product sustainable?,1599320000000,cleopatra,first.last@gmail.com,0,12
23,3,What fabric is the bottom made of?,1607640000000,iluvcatz,first.last@gmail.com,0,6
24,3,Where does this product ship from?,1616740000000,toofast,first.last@gmail.com,0,17
25,3,Where is this product made?,1605550000000,thegrimreaker,first.last@gmail.com,0,9
26,3,"I'm allergic to dye #17, does this product contain any?",1605320000000,rhcp81,first.last@gmail.com,0,0
27,3,What fabric is the back made of?,1609190000000,wildchild,first.last@gmail.com,0,5
28,3,Can I wash it?,1596390000000,coolkid,first.last@cbs.com,1,6
29,3,What fabric is the top made of?,1608860000000,wonderwoman,first.last@gmail.com,0,5
30,3,Why is this product cheaper here than other sites?,1591280000000,l33tgamer,first.last@gmail.com,0,4
31,4,Where is this product made?,1616590000000,cleopatra,first.last@gmail.com,0,2
32,4,What fabric is the bottom made of?,1602700000000,iluvcatz,first.last@gmail.com,0,7
33,4,Why is this product cheaper here than other sites?,1591280000000,toofast,first.last@gmail.com,0,4
